 🗙	[10, 11, 13, 16, 15] | direction [changes], status [False]
 🗙	[9, 6, 6, 7, 8, 13] | direction [changes], status [False]
 🗙	[7, 10, 12, 15, 17, 19, 24, 24] | direction [changes], status [False]
 🗙	[52, 48, 51, 49, 43] | direction [changes], status [False]
 🗙	[97, 98, 91, 88, 85, 83, 82, 78] | direction [changes], status [False]
 🗙	[79, 79, 78, 75, 70, 70] | direction [changes], status [False]
 🔻	[47, 43, 40, 39, 36, 32, 28] | direction [down], status [False]
 🗙	[11, 8, 7, 4, 1, 1] | direction [changes], status [False]
 🗙	[37, 36, 39, 39, 41, 42, 45, 47] | direction [changes], status [False]
 🗙	[58, 58, 58, 57, 54, 53, 50, 48] | direction [changes], status [False]
 🗙	[25, 25, 24, 23, 18] | direction [changes], status [False]
 🗙	[49, 47, 44, 38, 37, 36, 34, 36] | direction [changes], status [False]
 🗙	[33, 32, 37, 38, 40, 42, 43] | direction [changes], status [False]
 🔺	[12, 19, 24, 25, 26] | direction [up], status [False]
 🔺	[38, 40, 41, 42, 45, 46, 49, 55] | direction [up], status [False]
 🗙	[64, 60, 57, 56, 56, 54, 51, 49] | direction [changes], status [False]
 🗙	[47, 47, 49, 52, 53, 60, 62, 67] | direction [changes], status [False]
 🗙	[28, 31, 27, 24, 21, 19, 22] | direction [changes], status [False]
 🗙	[38, 45, 48, 51, 51, 56] | direction [changes], status [False]
 🗙	[73, 70, 70, 68, 64] | direction [changes], status [False]
 🗙	[82, 82, 81, 79, 77, 72, 73] | direction [changes], status [False]
 ✅	[43, 45, 48, 50, 53, 56, 58, 59] | direction [up], status [True]
 ✅	[60, 63, 64, 67, 68, 69, 72] | direction [up], status [True]
 ✅	[72, 74, 77, 79, 81, 84] | direction [up], status [True]
 ✅	[60, 57, 55, 54, 52, 50, 47] | direction [down], status [True]
 ✅	[57, 54, 52, 50, 47, 44] | direction [down], status [True]
 ✅	[8, 9, 11, 14, 15] | direction [up], status [True]
 ✅	[82, 79, 77, 74, 71, 68, 66] | direction [down], status [True]
 ✅	[34, 31, 30, 29, 26, 23, 21] | direction [down], status [True]
 ✅	[10, 13, 14, 17, 18, 21, 22, 23] | direction [up], status [True]
 ✅	[79, 77, 76, 73, 71, 70] | direction [down], status [True]
 ✅	[87, 89, 92, 93, 96, 97] | direction [up], status [True]
 ✅	[82, 81, 80, 78, 77, 76, 73, 72] | direction [down], status [True]
 ✅	[22, 19, 16, 14, 13] | direction [down], status [True]
 ✅	[79, 80, 82, 83, 84, 86, 88] | direction [up], status [True]
 ✅	[76, 78, 80, 82, 83] | direction [up], status [True]
 ✅	[15, 18, 19, 20, 23, 24, 27] | direction [up], status [True]
 ✅	[65, 67, 68, 71, 73, 75, 77, 79] | direction [up], status [True]
 ✅	[42, 41, 40, 39, 38] | direction [down], status [True]
 ✅	[33, 34, 37, 38, 41, 44, 46] | direction [up], status [True]
 ✅	[69, 72, 75, 76, 78, 81] | direction [up], status [True]
 ✅	[90, 87, 86, 85, 83] | direction [down], status [True]
 ✅	[57, 56, 54, 53, 50, 49, 47, 45] | direction [down], status [True]
 ✅	[67, 65, 62, 61, 59, 56, 55] | direction [down], status [True]
 ✅	[23, 25, 27, 29, 32, 33] | direction [up], status [True]
 ✅	[70, 67, 66, 63, 60, 57, 55] | direction [down], status [True]
 ✅	[90, 88, 85, 83, 82, 79, 76, 73] | direction [down], status [True]
 ✅	[91, 88, 86, 83, 80, 79, 76, 73] | direction [down], status [True]
 ✅	[37, 35, 32, 31, 28, 26, 25, 22] | direction [down], status [True]
 ✅	[22, 23, 25, 27, 28, 29, 32] | direction [up], status [True]
 ✅	[96, 93, 90, 89, 88] | direction [down], status [True]
 ✅	[59, 57, 56, 55, 54] | direction [down], status [True]
 ✅	[38, 37, 35, 32, 31] | direction [down], status [True]
 ✅	[11, 10, 7, 6, 5, 3] | direction [down], status [True]
 ✅	[51, 50, 48, 45, 42, 40, 38, 35] | direction [down], status [True]
 ✅	[69, 68, 65, 64, 63, 61, 59, 58] | direction [down], status [True]
 ✅	[45, 42, 39, 37, 36, 34, 32] | direction [down], status [True]
 ✅	[3, 4, 7, 8, 9] | direction [up], status [True]
 ✅	[43, 46, 48, 49, 50, 53, 54, 55] | direction [up], status [True]
 ✅	[35, 37, 40, 43, 46] | direction [up], status [True]
 ✅	[46, 44, 41, 38, 36, 33] | direction [down], status [True]
 ✅	[15, 13, 10, 7, 5, 2] | direction [down], status [True]
 ✅	[13, 11, 10, 9, 8, 7, 6] | direction [down], status [True]
 ✅	[40, 43, 46, 47, 48, 51] | direction [up], status [True]
 ✅	[70, 71, 74, 76, 79] | direction [up], status [True]
 ✅	[59, 58, 56, 55, 52, 49] | direction [down], status [True]
 ✅	[86, 89, 91, 92, 95, 97, 98] | direction [up], status [True]
 ✅	[85, 88, 90, 92, 93] | direction [up], status [True]
 ✅	[63, 62, 59, 57, 55, 52, 50] | direction [down], status [True]
 ✅	[77, 74, 72, 70, 68, 67] | direction [down], status [True]
 ✅	[50, 47, 45, 44, 41, 38, 36] | direction [down], status [True]
 ✅	[82, 84, 85, 88, 90, 91, 94, 97] | direction [up], status [True]
 ✅	[13, 15, 16, 18, 20, 23, 26, 28] | direction [up], status [True]
 ✅	[61, 63, 65, 68, 70, 72, 75, 76] | direction [up], status [True]
 ✅	[80, 81, 82, 83, 85] | direction [up], status [True]
 ✅	[73, 71, 68, 67, 66, 65, 62] | direction [down], status [True]
 ✅	[45, 48, 50, 53, 56, 58, 59, 62] | direction [up], status [True]
 ✅	[9, 10, 13, 16, 19, 22, 23, 26] | direction [up], status [True]
 ✅	[40, 39, 36, 34, 31, 30, 27, 25] | direction [down], status [True]
 ✅	[90, 88, 86, 83, 82, 81] | direction [down], status [True]
 ✅	[29, 31, 33, 35, 38, 41, 44] | direction [up], status [True]
 ✅	[57, 54, 53, 51, 49, 46, 43] | direction [down], status [True]
 ✅	[89, 87, 85, 84, 83, 82] | direction [down], status [True]
 ✅	[43, 41, 38, 35, 34, 33, 31, 30] | direction [down], status [True]
 ✅	[26, 23, 22, 21, 18, 16, 14] | direction [down], status [True]
 ✅	[80, 81, 82, 84, 87] | direction [up], status [True]
 ✅	[42, 43, 45, 48, 50, 51, 53, 55] | direction [up], status [True]
 ✅	[15, 12, 10, 8, 5, 4] | direction [down], status [True]
 ✅	[36, 34, 31, 29, 28, 27] | direction [down], status [True]
 ✅	[15, 13, 12, 9, 6, 3] | direction [down], status [True]
 ✅	[54, 51, 50, 49, 47] | direction [down], status [True]
 ✅	[40, 43, 46, 47, 48, 51, 53] | direction [up], status [True]
 ✅	[38, 36, 33, 32, 31, 28, 26, 23] | direction [down], status [True]
 ✅	[65, 64, 61, 59, 57, 55] | direction [down], status [True]
 ✅	[84, 83, 81, 79, 78, 77] | direction [down], status [True]
 ✅	[12, 15, 16, 18, 20] | direction [up], status [True]
 ✅	[37, 38, 40, 43, 46, 48, 50] | direction [up], status [True]
 ✅	[20, 21, 22, 23, 24, 25, 27] | direction [up], status [True]
 ✅	[82, 83, 84, 87, 89] | direction [up], status [True]
 ✅	[30, 32, 34, 37, 39, 42, 45, 48] | direction [up], status [True]
 ✅	[87, 85, 83, 80, 77, 74] | direction [down], status [True]
 ✅	[65, 66, 69, 70, 71] | direction [up], status [True]
 ✅	[76, 79, 80, 83, 86, 87] | direction [up], status [True]
 ✅	[5, 8, 11, 14, 15] | direction [up], status [True]
 ✅	[6, 8, 10, 13, 16, 19] | direction [up], status [True]
 ✅	[18, 15, 14, 12, 10] | direction [down], status [True]
 ✅	[71, 72, 75, 77, 79, 81, 82, 83] | direction [up], status [True]
 ✅	[33, 30, 28, 26, 24, 22] | direction [down], status [True]
 ✅	[67, 68, 69, 71, 72, 73] | direction [up], status [True]
 ✅	[89, 90, 93, 94, 97] | direction [up], status [True]
 ✅	[25, 22, 21, 19, 16, 13] | direction [down], status [True]
 ✅	[70, 68, 66, 64, 63, 60] | direction [down], status [True]
 ✅	[26, 27, 29, 31, 32, 35, 38] | direction [up], status [True]
 ✅	[22, 24, 26, 27, 29, 32, 33, 34] | direction [up], status [True]
 ✅	[25, 27, 29, 30, 33, 36, 39] | direction [up], status [True]
 ✅	[56, 53, 51, 50, 48, 47, 46] | direction [down], status [True]
 ✅	[20, 22, 23, 24, 26, 27, 28] | direction [up], status [True]
 ✅	[24, 27, 29, 31, 34] | direction [up], status [True]
 ✅	[86, 83, 81, 78, 76, 75, 72, 71] | direction [down], status [True]
 ✅	[33, 35, 36, 39, 40, 41, 43] | direction [up], status [True]
 ✅	[13, 14, 16, 19, 21, 23] | direction [up], status [True]
 ✅	[64, 61, 58, 56, 54, 53, 51, 49] | direction [down], status [True]
 ✅	[25, 28, 31, 33, 34, 36] | direction [up], status [True]
 ✅	[79, 77, 75, 72, 69, 66, 65] | direction [down], status [True]
 ✅	[85, 87, 90, 92, 93, 95, 96] | direction [up], status [True]
 ✅	[40, 42, 44, 47, 49, 52, 54] | direction [up], status [True]
 ✅	[39, 38, 35, 34, 33, 32, 29] | direction [down], status [True]
 ✅	[29, 30, 33, 35, 38, 40, 42] | direction [up], status [True]
 ✅	[96, 93, 92, 90, 88, 87, 85] | direction [down], status [True]
 ✅	[50, 52, 53, 54, 57, 60] | direction [up], status [True]
 ✅	[29, 28, 25, 22, 19, 17] | direction [down], status [True]
 ✅	[55, 54, 53, 52, 50, 48] | direction [down], status [True]
 ✅	[27, 26, 23, 20, 17, 16] | direction [down], status [True]
 ✅	[60, 63, 65, 67, 70, 72, 73, 75] | direction [up], status [True]
 ✅	[31, 28, 26, 24, 23, 22] | direction [down], status [True]
 ✅	[50, 47, 46, 44, 43] | direction [down], status [True]
 ✅	[30, 31, 33, 36, 37, 40, 43] | direction [up], status [True]
 ✅	[79, 78, 76, 74, 73, 70, 67] | direction [down], status [True]
 ✅	[51, 52, 53, 56, 58, 60, 61] | direction [up], status [True]
 ✅	[83, 82, 79, 76, 74, 72, 71, 68] | direction [down], status [True]
 ✅	[33, 34, 35, 37, 40, 42, 45] | direction [up], status [True]
 ✅	[81, 82, 85, 86, 87, 90] | direction [up], status [True]
 ✅	[94, 93, 92, 91, 89, 87, 85, 83] | direction [down], status [True]
 ✅	[12, 14, 16, 19, 21, 23] | direction [up], status [True]
 ✅	[3, 5, 8, 11, 13, 15, 17] | direction [up], status [True]
 ✅	[82, 80, 77, 75, 74] | direction [down], status [True]
 ✅	[28, 30, 31, 34, 36, 38] | direction [up], status [True]
 ✅	[83, 80, 78, 77, 76, 75, 74, 71] | direction [down], status [True]
 ✅	[47, 49, 52, 54, 56, 59, 60] | direction [up], status [True]
 ✅	[45, 43, 40, 39, 38, 35, 33, 30] | direction [down], status [True]
 ✅	[9, 7, 6, 5, 4, 3] | direction [down], status [True]
 ✅	[15, 18, 21, 22, 24, 27] | direction [up], status [True]
 ✅	[19, 21, 24, 27, 30, 32, 33] | direction [up], status [True]
 ✅	[30, 27, 25, 22, 19] | direction [down], status [True]
 ✅	[38, 37, 34, 31, 29, 27, 24, 22] | direction [down], status [True]
 ✅	[74, 77, 79, 81, 82, 83, 85, 86] | direction [up], status [True]
 ✅	[81, 79, 78, 77, 75, 73] | direction [down], status [True]
 ✅	[52, 51, 50, 49, 47, 44, 43] | direction [down], status [True]
 ✅	[15, 12, 9, 7, 4, 2, 1] | direction [down], status [True]
 ✅	[32, 29, 26, 23, 21, 18, 15] | direction [down], status [True]
 ✅	[6, 7, 10, 12, 13, 16] | direction [up], status [True]
 ✅	[22, 24, 25, 27, 28, 31, 33] | direction [up], status [True]
 ✅	[9, 12, 15, 16, 19, 21, 23] | direction [up], status [True]
 ✅	[23, 21, 20, 19, 18, 15, 12, 10] | direction [down], status [True]
 ✅	[50, 52, 55, 58, 59] | direction [up], status [True]
 ✅	[2, 3, 6, 8, 10, 12, 15, 18] | direction [up], status [True]
 ✅	[94, 91, 88, 87, 84] | direction [down], status [True]
 ✅	[54, 52, 51, 49, 48, 46, 45] | direction [down], status [True]
 ✅	[82, 85, 86, 89, 90] | direction [up], status [True]
 ✅	[21, 19, 17, 15, 14, 11] | direction [down], status [True]
 ✅	[53, 56, 59, 62, 64] | direction [up], status [True]
 ✅	[3, 6, 8, 11, 13, 14] | direction [up], status [True]
 ✅	[83, 85, 88, 90, 92] | direction [up], status [True]
 ✅	[60, 57, 55, 54, 52, 49, 48] | direction [down], status [True]
 ✅	[77, 74, 73, 70, 68, 66, 63] | direction [down], status [True]
 ✅	[22, 25, 27, 30, 31, 33, 34] | direction [up], status [True]
 ✅	[31, 33, 34, 35, 36, 39] | direction [up], status [True]
 ✅	[84, 83, 81, 80, 79, 78] | direction [down], status [True]
 ✅	[20, 23, 26, 27, 28, 31, 32, 34] | direction [up], status [True]
 ✅	[15, 16, 18, 19, 22, 25, 26] | direction [up], status [True]
 ✅	[99, 97, 96, 94, 92, 90] | direction [down], status [True]
 ✅	[73, 72, 70, 68, 67, 66, 63, 61] | direction [down], status [True]
 ✅	[65, 63, 62, 61, 58, 56, 55, 52] | direction [down], status [True]
 ✅	[78, 79, 81, 84, 85, 88, 91, 92] | direction [up], status [True]
 ✅	[74, 71, 68, 67, 65] | direction [down], status [True]
 ✅	[46, 49, 51, 53, 56, 57] | direction [up], status [True]
 ✅	[21, 22, 23, 24, 25, 26] | direction [up], status [True]
 ✅	[33, 35, 38, 40, 41, 44, 47] | direction [up], status [True]
 ✅	[88, 91, 92, 93, 96] | direction [up], status [True]
 ✅	[25, 28, 30, 33, 35] | direction [up], status [True]
 ✅	[89, 92, 95, 96, 97] | direction [up], status [True]
 ✅	[92, 90, 88, 85, 82, 79, 78, 77] | direction [down], status [True]
 ✅	[77, 80, 81, 84, 86, 89, 90, 92] | direction [up], status [True]
 ✅	[74, 76, 78, 80, 81, 83, 84] | direction [up], status [True]
 ✅	[75, 74, 71, 69, 68, 65] | direction [down], status [True]
 ✅	[17, 16, 13, 10, 9] | direction [down], status [True]
 ✅	[10, 12, 15, 18, 19] | direction [up], status [True]
 ✅	[47, 49, 52, 54, 55] | direction [up], status [True]
 ✅	[91, 88, 87, 85, 84] | direction [down], status [True]
 ✅	[52, 51, 49, 48, 46, 43, 40, 37] | direction [down], status [True]
 ✅	[86, 84, 83, 81, 78, 75] | direction [down], status [True]
 ✅	[11, 13, 15, 18, 20, 21, 23, 25] | direction [up], status [True]
 ✅	[94, 93, 91, 88, 86, 84, 81] | direction [down], status [True]
 ✅	[71, 70, 67, 65, 64] | direction [down], status [True]
 ✅	[41, 44, 45, 47, 48] | direction [up], status [True]
 ✅	[77, 80, 82, 84, 87] | direction [up], status [True]
 ✅	[98, 95, 93, 92, 90, 88] | direction [down], status [True]
 ✅	[76, 79, 81, 82, 84, 85, 87, 90] | direction [up], status [True]
 ✅	[52, 50, 49, 47, 44, 41, 39] | direction [down], status [True]
 ✅	[84, 85, 88, 89, 91, 94, 97, 98] | direction [up], status [True]
 ✅	[76, 79, 80, 81, 83, 84, 86, 88] | direction [up], status [True]
 ✅	[21, 23, 26, 27, 29] | direction [up], status [True]
 ✅	[94, 93, 90, 87, 85, 84, 81] | direction [down], status [True]
 ✅	[76, 77, 80, 83, 85, 88, 90, 93] | direction [up], status [True]
 ✅	[56, 53, 50, 47, 44, 43, 41, 40] | direction [down], status [True]
 ✅	[78, 81, 82, 85, 87] | direction [up], status [True]
 ✅	[86, 87, 89, 90, 93] | direction [up], status [True]
 ✅	[92, 90, 89, 88, 86, 85] | direction [down], status [True]
 ✅	[45, 44, 43, 42, 39] | direction [down], status [True]
 ✅	[75, 72, 71, 69, 66, 64, 62] | direction [down], status [True]
 ✅	[75, 73, 71, 69, 67, 65, 63, 60] | direction [down], status [True]
 ✅	[14, 16, 18, 19, 20, 21] | direction [up], status [True]
 ✅	[77, 74, 72, 70, 69, 67] | direction [down], status [True]
 ✅	[46, 45, 42, 41, 39, 37, 36, 35] | direction [down], status [True]
 ✅	[20, 18, 16, 13, 10, 7, 6, 3] | direction [down], status [True]
 ✅	[64, 66, 69, 71, 72, 75] | direction [up], status [True]
 ✅	[16, 18, 21, 23, 24, 25, 26, 28] | direction [up], status [True]
 ✅	[61, 59, 57, 56, 54, 52, 50] | direction [down], status [True]
 ✅	[44, 45, 48, 51, 54, 57, 58, 60] | direction [up], status [True]
 ✅	[25, 28, 31, 32, 35] | direction [up], status [True]
 ✅	[79, 78, 76, 73, 71, 70] | direction [down], status [True]
 ✅	[64, 65, 68, 71, 73, 74] | direction [up], status [True]
 ✅	[58, 60, 63, 64, 67] | direction [up], status [True]
 ✅	[33, 35, 36, 37, 39, 41] | direction [up], status [True]
