match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 46,  90) | [["M", "A", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 46,  94) | [["S", "A", "M"], ["X", "A", "S"], ["S", "X", "M"]]
match | center ( 46, 122) | [["M", "A", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center ( 46, 124) | [["S", "M", "M"], ["X", "A", "A"], ["S", "S", "M"]]
match | center ( 46, 129) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 46, 131) | [["S", "X", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 47,   7) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 47,  10) | [["S", "A", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 47,  16) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 47,  70) | [["M", "M", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 47,  71) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 47,  72) | [["S", "M", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 47,  74) | [["M", "A", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 47,  76) | [["S", "X", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 47,  87) | [["M", "A", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 47, 111) | [["S", "X", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 48,  16) | [["M", "A", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 48,  67) | [["M", "A", "M"], ["S", "A", "M"], ["S", "M", "S"]]
match | center ( 48,  78) | [["M", "S", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 48,  82) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 48,  94) | [["S", "X", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 48, 102) | [["S", "A", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 48, 109) | [["S", "A", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 48, 111) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 48, 116) | [["S", "M", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 48, 123) | [["S", "S", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 49,   4) | [["S", "X", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 49,   8) | [["M", "M", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center ( 49,  10) | [["S", "S", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 49,  32) | [["S", "S", "M"], ["X", "A", "M"], ["S", "X", "M"]]
match | center ( 49,  51) | [["M", "M", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 49,  53) | [["M", "X", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 49,  56) | [["S", "S", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 49,  65) | [["S", "X", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 49,  71) | [["S", "S", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center ( 49,  73) | [["S", "M", "S"], ["M", "A", "A"], ["M", "X", "M"]]
match | center ( 49,  78) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 49,  99) | [["M", "A", "M"], ["M", "A", "X"], ["S", "X", "S"]]
match | center ( 49, 106) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 49, 113) | [["M", "M", "M"], ["M", "A", "S"], ["S", "X", "S"]]
match | center ( 49, 135) | [["M", "A", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 50,  34) | [["M", "S", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 50,  49) | [["S", "M", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 50,  53) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 50,  78) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 50,  80) | [["S", "A", "S"], ["S", "A", "S"], ["M", "X", "M"]]
match | center ( 50,  82) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 50,  89) | [["M", "X", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 50,  93) | [["S", "S", "M"], ["X", "A", "M"], ["S", "A", "M"]]
match | center ( 50, 106) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 50, 111) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 50, 124) | [["M", "M", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center ( 50, 126) | [["S", "A", "M"], ["X", "A", "S"], ["S", "M", "M"]]
match | center ( 50, 138) | [["S", "X", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 51,   9) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 51,  11) | [["M", "M", "M"], ["A", "A", "X"], ["S", "X", "S"]]
match | center ( 51,  13) | [["M", "X", "M"], ["X", "A", "A"], ["S", "A", "S"]]
match | center ( 51,  20) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 51,  42) | [["S", "M", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 51,  53) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 51,  82) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 51,  97) | [["S", "X", "S"], ["S", "A", "X"], ["M", "X", "M"]]
match | center ( 51, 106) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 51, 117) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 51, 133) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 51, 134) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 51, 136) | [["M", "S", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 52,   4) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 52,  26) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 52,  34) | [["S", "A", "S"], ["M", "A", "X"], ["M", "S", "M"]]
match | center ( 52,  42) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 52,  44) | [["M", "A", "M"], ["M", "A", "X"], ["S", "X", "S"]]
match | center ( 52,  47) | [["M", "A", "M"], ["A", "A", "S"], ["S", "M", "S"]]
match | center ( 52,  53) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 52,  57) | [["S", "X", "S"], ["A", "A", "X"], ["M", "A", "M"]]
match | center ( 52,  70) | [["M", "X", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 52,  72) | [["M", "A", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 52,  74) | [["M", "X", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 52,  80) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 52,  88) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 52,  89) | [["M", "S", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 52, 104) | [["S", "M", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 52, 106) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 52, 113) | [["S", "X", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center ( 52, 125) | [["M", "S", "M"], ["X", "A", "X"], ["S", "S", "S"]]
match | center ( 52, 128) | [["M", "M", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center ( 53,  13) | [["S", "A", "S"], ["M", "A", "M"], ["M", "M", "M"]]
match | center ( 53,  26) | [["M", "A", "S"], ["M", "A", "S"], ["M", "X", "S"]]
match | center ( 53,  37) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 53,  39) | [["S", "A", "M"], ["S", "A", "A"], ["S", "A", "M"]]
match | center ( 53,  42) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 53,  49) | [["S", "X", "S"], ["S", "A", "A"], ["M", "A", "M"]]
match | center ( 53,  60) | [["M", "M", "M"], ["A", "A", "S"], ["S", "X", "S"]]
match | center ( 53,  62) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 53,  66) | [["M", "X", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 53,  70) | [["M", "A", "M"], ["S", "A", "S"], ["S", "X", "S"]]
match | center ( 53,  72) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 53,  80) | [["S", "A", "M"], ["S", "A", "S"], ["S", "M", "M"]]
match | center ( 53, 136) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 53, 137) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 53, 138) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 54,   7) | [["M", "A", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center ( 54,   9) | [["M", "M", "M"], ["M", "A", "A"], ["S", "S", "S"]]
match | center ( 54,  11) | [["M", "M", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 54,  23) | [["M", "S", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 54,  34) | [["M", "S", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 54,  42) | [["S", "A", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 54,  44) | [["S", "X", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 54,  64) | [["M", "M", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 54,  66) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 54,  72) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 54,  76) | [["S", "X", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 54,  78) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 54,  89) | [["M", "M", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 54, 102) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 54, 108) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 54, 110) | [["M", "X", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 54, 119) | [["S", "A", "S"], ["S", "A", "M"], ["M", "S", "M"]]
match | center ( 54, 125) | [["S", "S", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 54, 126) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 54, 128) | [["S", "X", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 55,  16) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 55,  18) | [["S", "M", "M"], ["A", "A", "A"], ["S", "X", "M"]]
match | center ( 55,  60) | [["S", "X", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center ( 55,  74) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 55, 102) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 55, 108) | [["S", "A", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 56,   7) | [["S", "S", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 56,  26) | [["M", "X", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 56,  29) | [["M", "M", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 56,  31) | [["M", "S", "M"], ["X", "A", "A"], ["S", "A", "S"]]
match | center ( 56,  34) | [["S", "M", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 56,  54) | [["M", "A", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center ( 56,  56) | [["M", "S", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 56,  62) | [["M", "X", "M"], ["M", "A", "S"], ["S", "X", "S"]]
match | center ( 56,  74) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 56,  76) | [["S", "X", "M"], ["M", "A", "M"], ["S", "S", "M"]]
match | center ( 56,  80) | [["S", "A", "M"], ["X", "A", "M"], ["S", "S", "M"]]
match | center ( 56,  90) | [["M", "S", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center ( 56, 110) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 56, 122) | [["M", "X", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 56, 124) | [["S", "M", "M"], ["X", "A", "X"], ["S", "X", "M"]]
match | center ( 57,   3) | [["S", "X", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 57,   7) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 57,  41) | [["M", "S", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 57,  48) | [["S", "S", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 57,  64) | [["S", "X", "S"], ["S", "A", "S"], ["M", "M", "M"]]
match | center ( 57,  66) | [["S", "M", "S"], ["S", "A", "A"], ["M", "S", "M"]]
match | center ( 57,  70) | [["M", "A", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center ( 57,  83) | [["S", "X", "S"], ["S", "A", "X"], ["M", "X", "M"]]
match | center ( 57,  95) | [["S", "M", "S"], ["X", "A", "M"], ["M", "S", "M"]]
match | center ( 57,  97) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 57, 100) | [["M", "A", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 57, 110) | [["M", "A", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 57, 115) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 58,  53) | [["M", "S", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 58,  58) | [["S", "X", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 58,  60) | [["S", "A", "S"], ["X", "A", "S"], ["M", "A", "M"]]
match | center ( 58,  62) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 58,  76) | [["S", "S", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 58,  77) | [["S", "M", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 58,  79) | [["S", "S", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 58,  81) | [["S", "M", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 58,  88) | [["S", "M", "M"], ["M", "A", "A"], ["S", "S", "M"]]
match | center ( 58,  89) | [["M", "M", "M"], ["A", "A", "S"], ["S", "M", "S"]]
match | center ( 58, 127) | [["M", "A", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center ( 59,   7) | [["S", "M", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 59,  20) | [["S", "M", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 59,  30) | [["M", "X", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 59,  39) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 59,  43) | [["S", "A", "S"], ["X", "A", "S"], ["M", "S", "M"]]
match | center ( 59,  46) | [["M", "M", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 59,  51) | [["S", "S", "M"], ["A", "A", "M"], ["S", "X", "M"]]
match | center ( 59,  65) | [["M", "M", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 59,  74) | [["S", "X", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 59, 100) | [["S", "X", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 59, 125) | [["M", "A", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 60,  57) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 60,  58) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 60,  74) | [["S", "A", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 60,  87) | [["M", "S", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center ( 60, 102) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 60, 120) | [["M", "X", "M"], ["M", "A", "S"], ["S", "M", "S"]]
match | center ( 60, 127) | [["M", "M", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 61,   1) | [["M", "M", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 61,   3) | [["S", "X", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 61,  10) | [["S", "S", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 61,  23) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 61,  24) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 61,  36) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 61,  44) | [["S", "M", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 61,  46) | [["M", "M", "S"], ["X", "A", "X"], ["M", "S", "S"]]
match | center ( 61,  63) | [["S", "S", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center ( 61,  65) | [["M", "X", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center ( 61,  78) | [["S", "X", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 61,  80) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 61,  94) | [["S", "S", "S"], ["X", "A", "A"], ["M", "X", "M"]]
match | center ( 61, 102) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 61, 105) | [["M", "M", "S"], ["X", "A", "S"], ["M", "X", "S"]]
match | center ( 61, 110) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 61, 113) | [["S", "X", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 61, 129) | [["M", "X", "M"], ["S", "A", "X"], ["S", "X", "S"]]
match | center ( 62,  21) | [["S", "X", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 62,  58) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 62,  84) | [["M", "A", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center ( 62,  86) | [["S", "M", "M"], ["X", "A", "S"], ["S", "X", "M"]]
match | center ( 62,  90) | [["S", "X", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 62, 117) | [["M", "S", "S"], ["M", "A", "A"], ["M", "S", "S"]]
match | center ( 62, 119) | [["S", "S", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center ( 62, 122) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 62, 127) | [["M", "X", "S"], ["M", "A", "S"], ["M", "X", "S"]]
match | center ( 62, 133) | [["S", "M", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 63,   2) | [["S", "S", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 63,   4) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 63,  25) | [["M", "S", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 63,  26) | [["S", "S", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 63,  28) | [["S", "M", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 63,  36) | [["S", "X", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center ( 63,  38) | [["M", "S", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 63,  39) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 63,  40) | [["S", "S", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center ( 63,  42) | [["M", "S", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 63,  43) | [["S", "S", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 63,  45) | [["S", "M", "S"], ["X", "A", "X"], ["M", "M", "M"]]
match | center ( 63,  94) | [["M", "X", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 63,  96) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 63, 103) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 63, 129) | [["S", "X", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 64,  15) | [["M", "M", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 64,  17) | [["S", "A", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 64,  19) | [["M", "X", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center ( 64,  22) | [["S", "M", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 64,  82) | [["M", "S", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 64, 105) | [["M", "X", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center ( 64, 118) | [["S", "S", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 64, 119) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 64, 127) | [["M", "X", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 65,  49) | [["M", "M", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 65,  58) | [["M", "X", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center ( 65,  60) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 65,  65) | [["S", "M", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center ( 65,  71) | [["S", "S", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center ( 65,  74) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 65,  80) | [["S", "X", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center ( 65, 103) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 65, 135) | [["M", "M", "S"], ["A", "A", "M"], ["M", "S", "S"]]
match | center ( 66,  16) | [["S", "S", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center ( 66,  42) | [["S", "X", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 66,  82) | [["S", "X", "S"], ["M", "A", "A"], ["M", "X", "M"]]
match | center ( 66, 103) | [["M", "A", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center ( 66, 107) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 66, 117) | [["M", "M", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 66, 125) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 66, 127) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 67,  33) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 67,  35) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center ( 67,  42) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 67,  55) | [["S", "X", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 67,  69) | [["M", "A", "S"], ["X", "A", "M"], ["M", "S", "S"]]
match | center ( 67,  71) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 67,  74) | [["S", "A", "S"], ["M", "A", "M"], ["M", "M", "M"]]
match | center ( 67,  98) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 67, 127) | [["M", "A", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 67, 134) | [["M", "M", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center ( 67, 137) | [["S", "S", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 67, 138) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 68,  21) | [["S", "X", "M"], ["A", "A", "X"], ["S", "A", "M"]]
match | center ( 68,  31) | [["S", "S", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 68,  38) | [["S", "M", "S"], ["X", "A", "A"], ["M", "X", "M"]]
match | center ( 68,  40) | [["S", "A", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 68,  96) | [["S", "X", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 68,  98) | [["M", "A", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 68, 101) | [["M", "S", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 68, 102) | [["S", "S", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 69,   1) | [["M", "S", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 69,   6) | [["S", "A", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center ( 69,  42) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 69,  52) | [["S", "M", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 69,  57) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 69,  82) | [["S", "A", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 69,  90) | [["S", "A", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center ( 69, 116) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 69, 136) | [["S", "M", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 70,  12) | [["S", "M", "S"], ["S", "A", "A"], ["M", "X", "M"]]
match | center ( 70,  21) | [["S", "A", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center ( 70,  29) | [["M", "A", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center ( 70,  31) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 70,  55) | [["M", "A", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 70,  71) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 70,  86) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 70, 106) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 70, 108) | [["M", "A", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 70, 110) | [["M", "M", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 70, 124) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 70, 129) | [["M", "X", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 70, 131) | [["M", "X", "M"], ["X", "A", "M"], ["S", "M", "S"]]
